year,district,Crime Type,Total Crime
2015,Vehari,burglaries,292
2015,Rawalpindi Div.,burglaries,758
2015,Attock,burglaries,55
2015,Chakwal,burglaries,105
2015,Jhelum,burglaries,64
2015,Rawalpindi,burglaries,534
2015,Sahiwal Division,burglaries,889
2015,Sahiwal,burglaries,318
2015,Okara,burglaries,391
2015,Pakpattan,burglaries,180
2015,Sargodha Div.,burglaries,617
2015,Bhakkar,burglaries,99
2015,Khushab,burglaries,83
2015,Mianwali,burglaries,68
2015,Sargodha,burglaries,367
2016,PUNJAB,burglaries,11627
2016,Bahawalpur Div.,burglaries,794
2016,Bahawalnagar,burglaries,172
2016,Bahawalpur,burglaries,269
2016,Rahim Yar Khan,burglaries,353
2016,D.G.Khan Division,burglaries,495
2016,D.G.Khan,burglaries,104
2016,Layyah,burglaries,56
2016,Muzaffargarh,burglaries,221
2016,Rajanpur,burglaries,114
2016,Faisalabad Div.,burglaries,973
2016,Faisalabad,burglaries,486
2016,Chiniot,burglaries,180
2016,Jhang,burglaries,145
2016,T.T.Singh,burglaries,162
2016,Gujranwala Div.,burglaries,1041
2016,Gujranwala,burglaries,332
2016,Gujrat,burglaries,123
2016,Hafizabad,burglaries,117
2016,Mandi Baha-ud-Din,burglaries,154
2016,Narowal,burglaries,25
2016,Sialkot,burglaries,290
2016,Lahore Division,burglaries,5245
2016,Kasur,burglaries,141
2016,Lahore,burglaries,4627
2016,Nankana Sahib,burglaries,90
2016,Sheikhupura,burglaries,387
2016,Multan Division,burglaries,1165
2016,Khanewal,burglaries,135
2016,Lodhran,burglaries,90
2016,Multan,burglaries,688
2016,Vehari,burglaries,252
2016,Rawalpindi Div.,burglaries,603
2016,Attock,burglaries,56
2016,Chakwal,burglaries,65
2016,Jhelum,burglaries,44
2016,Rawalpindi,burglaries,438
2016,Sahiwal Division,burglaries,803
2016,Sahiwal,burglaries,247
2016,Okara,burglaries,381
2016,Pakpattan,burglaries,175
2016,Sargodha Div.,burglaries,508
2016,Bhakkar,burglaries,64
2016,Khushab,burglaries,50
2016,Mianwali,burglaries,54
2016,Sargodha,burglaries,340
2017,PUNJAB,burglaries,10978
2017,Bahawalpur Div.,burglaries,605
2017,Bahawalnagar,burglaries,171
2017,Bahawalpur,burglaries,243
2017,Rahim Yar Khan,burglaries,191
2017,D.G.Khan Division,burglaries,606
2017,D.G.Khan,burglaries,112
2017,Layyah,burglaries,39
2017,Muzaffargarh,burglaries,354
2017,Rajanpur,burglaries,101
2017,Faisalabad Div.,burglaries,931
2017,Faisalabad,burglaries,531
2017,Chiniot,burglaries,121
2017,Jhang,burglaries,126
2017,T.T.Singh,burglaries,153
2017,Gujranwala Div.,burglaries,1117
2017,Gujranwala,burglaries,269
2017,Gujrat,burglaries,160
2017,Hafizabad,burglaries,66
2017,Mandi Baha-ud-Din,burglaries,195
2017,Narowal,burglaries,35
2017,Sialkot,burglaries,392
2017,Lahore Division,burglaries,4597
2017,Kasur,burglaries,122
2017,Lahore,burglaries,4014
2017,Nankana Sahib,burglaries,84
2017,Sheikhupura,burglaries,377
2017,Multan Division,burglaries,1154
2017,Khanewal,burglaries,132
2017,Lodhran,burglaries,116
2017,Multan,burglaries,681
2017,Vehari,burglaries,225
2017,Rawalpindi Div.,burglaries,660
2017,Attock,burglaries,75
2017,Chakwal,burglaries,82
2017,Jhelum,burglaries,54
2017,Rawalpindi,burglaries,449
2017,Sahiwal Division,burglaries,747
2017,Sahiwal,burglaries,273
2017,Okara,burglaries,313
2017,Pakpattan,burglaries,161
2017,Sargodha Div.,burglaries,561
2017,Bhakkar,burglaries,65
2017,Khushab,burglaries,71
2017,Mianwali,burglaries,67
2017,Sargodha,burglaries,358
2018,PUNJAB,burglaries,11424
2018,Bahawalpur Div.,burglaries,768
2018,Bahawalnagar,burglaries,186
2018,Bahawalpur,burglaries,312
2018,Rahim Yar Khan,burglaries,270
2018,D.G.Khan Division,burglaries,749
2018,D.G.Khan,burglaries,168
2018,Layyah,burglaries,54
2018,Muzaffargarh,burglaries,429
2018,Rajanpur,burglaries,98
2018,Faisalabad Div.,burglaries,1038
2018,Faisalabad,burglaries,581
2018,Chiniot,burglaries,144
2018,Jhang,burglaries,162
2018,T.T.Singh,burglaries,151
2018,Gujranwala Div.,burglaries,974
2018,Gujranwala,burglaries,288
2018,Gujrat,burglaries,115
2018,Hafizabad,burglaries,61
2018,Mandi Baha-ud-Din,burglaries,147
2018,Narowal,burglaries,49
2018,Sialkot,burglaries,314
2018,Lahore Division,burglaries,4675
2018,Kasur,burglaries,104
2018,Lahore,burglaries,4126
2018,Nankana Sahib,burglaries,104
2018,Sheikhupura,burglaries,341
2018,Multan Division,burglaries,1182
2018,Khanewal,burglaries,165
2018,Lodhran,burglaries,124
2018,Multan,burglaries,657
2018,Vehari,burglaries,236
2018,Rawalpindi Div.,burglaries,702
2018,Attock,burglaries,60
2018,Chakwal,burglaries,79
2018,Jhelum,burglaries,76
2018,Rawalpindi,burglaries,487
2018,Sahiwal Division,burglaries,727
2018,Sahiwal,burglaries,267
2018,Okara,burglaries,305
2018,Pakpattan,burglaries,155
2018,Sargodha Div.,burglaries,609
2018,Bhakkar,burglaries,77
2018,Khushab,burglaries,59
